"feature_type","osm_id","label","name","operator","source_geometry","longitude","latitude"
"park",NA,"Lakeview Park","Lakeview Park",NA,"polygon",-83.5682488260255,42.2180654
"park",NA,"Loonfeather Point Park","Loonfeather Point Park",NA,"polygon",-83.5835171387368,42.22007875
"park",NA,"Nancy Park","Nancy Park",NA,"polygon",-83.5856673109168,42.22474665
"park",NA,"Sugarbrook Park","Sugarbrook Park",NA,"polygon",-83.5704186651306,42.2250619
"park",NA,"Belanger Park","Belanger Park",NA,"polygon",-83.1134338545966,42.270391
"park",NA,"Fairfield Park","Fairfield Park",NA,"polygon",-83.0654353854811,42.5745518
"park",NA,"Dolores Benett Park","Dolores Benett Park",NA,"polygon",-83.0697444210072,42.37471135
"park",NA,"Salsinger Playground","Salsinger Playground",NA,"polygon",-83.1285489969923,42.4003269
"park",NA,"George & Maggie Rollinger Park","George & Maggie Rollinger Park",NA,"polygon",-82.9396778400705,42.51380435
"park",NA,"University Park","University Park",NA,"polygon",-83.6255576177243,42.25191905
"park",NA,NA,NA,NA,"polygon",-83.3506391275671,42.0516144
"park",NA,"Ash Carleton Park","Ash Carleton Park",NA,"polygon",-83.3968682316828,42.06321285
