"record_type","model_name","data_name","model_class","formula","created_at","bundle_created_at","n","r","r_squared","adj_r_squared","see","ss_regression","ss_residual","ss_total","df_regression","df_residual","df_total","ms_regression","ms_residual","f","significance","aic","bic","rmse","mae","term","estimate","std_error","t_value","p_value","type","edf","ref_df"
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R321",-0.965464,0.133813,-7.215014,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R322",-0.276831,0.096038,-2.882503,0.003955,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R323",-0.412132,0.091624,-4.498098,7e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R324",-0.870479,0.128853,-6.755604,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R325",-0.523101,0.098863,-5.291174,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf3R326",-1.029014,0.168987,-6.089316,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R401",-0.664098,0.095886,-6.9259,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R402",-1.353032,0.122652,-11.031474,0,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R403",-0.486459,0.099715,-4.878488,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R404",-0.361082,0.099745,-3.62006,0.000296,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R405",-0.386225,0.090816,-4.252842,2.1e-05,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R406",-0.443275,0.090839,-4.879797,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R407",-0.548679,0.10913,-5.027773,1e-06,"parametric",NA,NA
"coefficient","cod_nlmod_alt_23_25","dfa",NA,NA,"2026-02-18 21:55:36 UTC",NA,8441,0.752081,0.565626,0.555247,0.382088,1567.036982,1203.408445,2770.445426,226,8243.030298,8440,6.933792,0.145991,47.494645,0,7911.723658,9319.152848,0.377581,0.315808,"ecf4R408",-0.545702,0.093157,-5.857873,0,"parametric",NA,NA
